no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
29,2018R,2018/10/25,木,1,赤坂ドリブンズ,鈴木たろう,5100,4,-54.9,小林未沙,魚谷侑未,張敏賢,松本圭世,13,1,3,4,5,3,0,0
29,2018R,2018/10/25,木,1,EX風林火山,滝沢和典,38200,2,18.2,小林未沙,魚谷侑未,張敏賢,松本圭世,13,4,0,1,3,3,2,0
29,2018R,2018/10/25,木,1,U-NEXT Pirates,小林剛,48000,1,68,小林未沙,魚谷侑未,張敏賢,松本圭世,13,4,1,2,8,3,2,0
29,2018R,2018/10/25,木,1,渋谷ABEMAS,白鳥翔,8700,3,-31.3,小林未沙,魚谷侑未,張敏賢,松本圭世,13,1,2,1,6,3,1,0
30,2018R,2018/10/25,木,2,渋谷ABEMAS,多井隆晴,30800,2,10.8,小林未沙,魚谷侑未,張敏賢,松本圭世,16,2,0,1,3,5,3,0
30,2018R,2018/10/25,木,2,EX風林火山,勝又健志,12600,3,-27.4,小林未沙,魚谷侑未,張敏賢,松本圭世,16,2,3,2,5,5,1,0
30,2018R,2018/10/25,木,2,U-NEXT Pirates,朝倉康心,56300,1,76.3,小林未沙,魚谷侑未,張敏賢,松本圭世,16,6,1,3,11,5,4,0
30,2018R,2018/10/25,木,2,赤坂ドリブンズ,村上淳,300,4,-59.7,小林未沙,魚谷侑未,張敏賢,松本圭世,16,1,2,7,1,5,0,0
31,2018R,2018/10/26,金,1,セガサミーフェニックス,魚谷侑未,40100,2,20.1,松嶋桃,滝沢和典,張敏賢,松本圭世,11,2,3,2,4,2,1,0
31,2018R,2018/10/26,金,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,66400,1,86.4,松嶋桃,滝沢和典,張敏賢,松本圭世,11,4,0,2,3,2,2,0
31,2018R,2018/10/26,金,1,渋谷ABEMAS,松本吉弘,-9600,4,-69.6,松嶋桃,滝沢和典,張敏賢,松本圭世,11,2,2,3,3,2,0,0
31,2018R,2018/10/26,金,1,赤坂ドリブンズ,村上淳,3100,3,-36.9,松嶋桃,滝沢和典,張敏賢,松本圭世,11,1,2,1,0,2,0,0
32,2018R,2018/10/26,金,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,41900,1,61.9,松嶋桃,滝沢和典,張敏賢,松本圭世,8,3,1,2,2,1,0,0
32,2018R,2018/10/26,金,2,渋谷ABEMAS,白鳥翔,8500,4,-51.5,松嶋桃,滝沢和典,張敏賢,松本圭世,8,1,1,1,0,1,0,0
32,2018R,2018/10/26,金,2,セガサミーフェニックス,魚谷侑未,24800,2,-5.2,松嶋桃,滝沢和典,張敏賢,松本圭世,8,1,1,1,1,1,0,0
32,2018R,2018/10/26,金,2,赤坂ドリブンズ,園田賢,24800,2,-5.2,松嶋桃,滝沢和典,張敏賢,松本圭世,8,2,0,2,2,1,0,0
33,2018R,2018/10/29,月,1,赤坂ドリブンズ,村上淳,30300,1,50.3,松嶋桃,勝又健志,張敏賢,松本圭世,10,2,1,6,0,2,0,0
33,2018R,2018/10/29,月,1,U-NEXT Pirates,石橋伸洋,24000,3,-16,松嶋桃,勝又健志,張敏賢,松本圭世,10,3,0,1,3,2,0,0
33,2018R,2018/10/29,月,1,セガサミーフェニックス,近藤誠一,28300,2,8.3,松嶋桃,勝又健志,張敏賢,松本圭世,10,2,0,3,6,2,2,0
33,2018R,2018/10/29,月,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,17400,4,-42.6,松嶋桃,勝又健志,張敏賢,松本圭世,10,1,2,3,2,2,0,0
34,2018R,2018/10/29,月,2,赤坂ドリブンズ,園田賢,-700,4,-60.7,松嶋桃,勝又健志,張敏賢,松本圭世,10,0,1,1,2,0,0,0
34,2018R,2018/10/29,月,2,セガサミーフェニックス,近藤誠一,11900,3,-28.1,松嶋桃,勝又健志,張敏賢,松本圭世,10,1,3,1,0,0,0,0
34,2018R,2018/10/29,月,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,52800,1,72.8,松嶋桃,勝又健志,張敏賢,松本圭世,10,4,0,4,3,0,1,0
34,2018R,2018/10/29,月,2,U-NEXT Pirates,小林剛,36000,2,16,松嶋桃,勝又健志,張敏賢,松本圭世,10,5,0,2,5,0,1,0
35,2018R,2018/10/30,火,1,KONAMI 麻雀格闘倶楽部,前原雄大,-14600,4,-74.6,小林未沙,石橋伸洋,張敏賢,松本圭世,10,1,4,1,5,1,1,0
35,2018R,2018/10/30,火,1,渋谷ABEMAS,多井隆晴,22300,3,-17.7,小林未沙,石橋伸洋,張敏賢,松本圭世,10,1,1,4,2,1,1,0
35,2018R,2018/10/30,火,1,TEAM RAIDEN / 雷電,黒沢咲,35900,2,15.9,小林未沙,石橋伸洋,張敏賢,松本圭世,10,3,0,2,3,1,0,0
35,2018R,2018/10/30,火,1,セガサミーフェニックス,茅森早香,56400,1,76.4,小林未沙,石橋伸洋,張敏賢,松本圭世,10,4,2,3,2,1,0,0
36,2018R,2018/10/30,火,2,TEAM RAIDEN / 雷電,萩原聖人,21500,3,-18.5,小林未沙,石橋伸洋,張敏賢,松本圭世,14,2,1,1,1,4,2,0
36,2018R,2018/10/30,火,2,KONAMI 麻雀格闘倶楽部,高宮まり,26700,2,6.7,小林未沙,石橋伸洋,張敏賢,松本圭世,14,4,3,9,1,4,3,0
36,2018R,2018/10/30,火,2,渋谷ABEMAS,多井隆晴,52000,1,72,小林未沙,石橋伸洋,張敏賢,松本圭世,14,4,0,2,2,4,1,0
36,2018R,2018/10/30,火,2,セガサミーフェニックス,茅森早香,-200,4,-60.2,小林未沙,石橋伸洋,張敏賢,松本圭世,14,0,2,3,6,4,0,0
37,2018R,2018/11/01,木,1,EX風林火山,二階堂亜樹,43500,1,63.5,小林未沙,鈴木たろう,張敏賢,松本圭世,12,3,1,4,2,2,2,0
37,2018R,2018/11/01,木,1,TEAM RAIDEN / 雷電,萩原聖人,26200,3,-13.8,小林未沙,鈴木たろう,張敏賢,松本圭世,12,2,0,1,2,2,2,0
37,2018R,2018/11/01,木,1,渋谷ABEMAS,白鳥翔,-5700,4,-65.7,小林未沙,鈴木たろう,張敏賢,松本圭世,12,2,3,3,6,2,0,0
37,2018R,2018/11/01,木,1,KONAMI 麻雀格闘倶楽部,前原雄大,36000,2,16,小林未沙,鈴木たろう,張敏賢,松本圭世,12,3,0,3,3,2,0,0
38,2018R,2018/11/01,木,2,EX風林火山,勝又健志,21800,3,-18.2,小林未沙,鈴木たろう,張敏賢,松本圭世,11,4,2,1,6,0,1,0
38,2018R,2018/11/01,木,2,渋谷ABEMAS,松本吉弘,27600,2,7.6,小林未沙,鈴木たろう,張敏賢,松本圭世,11,3,2,6,0,0,0,0
38,2018R,2018/11/01,木,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,41200,1,61.2,小林未沙,鈴木たろう,張敏賢,松本圭世,11,3,0,3,5,0,2,0
38,2018R,2018/11/01,木,2,KONAMI 麻雀格闘倶楽部,前原雄大,9400,4,-50.6,小林未沙,鈴木たろう,張敏賢,松本圭世,11,1,2,3,5,0,0,0
39,2018R,2018/11/02,金,1,EX風林火山,二階堂亜樹,33100,1,53.1,松嶋桃,多井隆晴,張敏賢,西澤由夏,8,1,1,0,2,2,0,0
39,2018R,2018/11/02,金,1,セガサミーフェニックス,近藤誠一,17400,4,-42.6,松嶋桃,多井隆晴,張敏賢,西澤由夏,8,2,1,1,4,2,0,0
39,2018R,2018/11/02,金,1,U-NEXT Pirates,石橋伸洋,18600,3,-21.4,松嶋桃,多井隆晴,張敏賢,西澤由夏,8,1,2,1,7,2,0,0
